epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,212.372,0.39298,0.4295,0.88325,0.99921,1,0.995,0.94229,0.32336,0.41239,0.64712,0.0008581,0.0008581,0.0008581
45,217.258,0.37616,0.42326,0.8963,0.99914,1,0.995,0.93456,0.3494,0.41983,0.6521,0.0008548,0.0008548,0.0008548
46,222.067,0.38405,0.42033,0.88515,0.99866,1,0.995,0.93405,0.35014,0.43423,0.65224,0.0008515,0.0008515,0.0008515
47,226.894,0.38663,0.41661,0.88699,0.99767,1,0.995,0.94922,0.31935,0.41431,0.65107,0.0008482,0.0008482,0.0008482
48,231.726,0.38865,0.42419,0.89626,0.99766,1,0.995,0.94296,0.34211,0.41435,0.65715,0.0008449,0.0008449,0.0008449
49,236.533,0.36722,0.39891,0.88833,0.99794,1,0.995,0.95334,0.30301,0.39945,0.6457,0.0008416,0.0008416,0.0008416
50,241.346,0.3755,0.40758,0.88795,0.99851,1,0.995,0.95948,0.28573,0.39986,0.64247,0.0008383,0.0008383,0.0008383
51,246.196,0.37877,0.41047,0.89175,0.99841,1,0.995,0.9569,0.27376,0.41002,0.64134,0.000835,0.000835,0.000835
52,251.069,0.37479,0.3952,0.88313,0.99861,1,0.995,0.95375,0.30214,0.4095,0.6435,0.0008317,0.0008317,0.0008317
53,255.927,0.36836,0.39533,0.88574,0.99238,1,0.995,0.94789,0.32027,0.40998,0.64932,0.0008284,0.0008284,0.0008284
54,260.704,0.39216,0.3943,0.89123,0.99174,1,0.9947,0.95263,0.29476,0.39869,0.64451,0.0008251,0.0008251,0.0008251
55,265.503,0.35881,0.40027,0.89098,0.9918,1,0.99263,0.94252,0.33358,0.40915,0.65081,0.0008218,0.0008218,0.0008218
56,270.39,0.3549,0.39545,0.89567,0.99162,1,0.99374,0.95021,0.30143,0.38959,0.6446,0.0008185,0.0008185,0.0008185
57,275.239,0.35876,0.39008,0.88362,0.99121,1,0.995,0.93914,0.33762,0.37638,0.6473,0.0008152,0.0008152,0.0008152
58,280.055,0.36793,0.39696,0.88544,0.99254,1,0.995,0.95963,0.29638,0.37213,0.64039,0.0008119,0.0008119,0.0008119
59,284.867,0.37785,0.39001,0.89477,0.99158,1,0.995,0.96002,0.29885,0.37377,0.64102,0.0008086,0.0008086,0.0008086
60,289.657,0.3536,0.38184,0.87989,0.99657,1,0.995,0.95251,0.30679,0.38002,0.64179,0.0008053,0.0008053,0.0008053
61,294.454,0.3437,0.37819,0.88001,0.99244,1,0.995,0.95392,0.29382,0.39075,0.64404,0.000802,0.000802,0.000802
62,299.326,0.36532,0.36981,0.88385,0.99512,1,0.995,0.9552,0.28385,0.39404,0.64108,0.0007987,0.0007987,0.0007987
63,304.148,0.34831,0.37441,0.88048,0.99661,1,0.995,0.95503,0.30063,0.38169,0.64292,0.0007954,0.0007954,0.0007954
64,308.957,0.3572,0.37749,0.87425,0.99849,1,0.995,0.95671,0.2703,0.36175,0.6359,0.0007921,0.0007921,0.0007921
65,313.749,0.354,0.38537,0.88949,0.99818,1,0.995,0.95935,0.27671,0.36181,0.63635,0.0007888,0.0007888,0.0007888
66,318.581,0.34254,0.37033,0.87712,0.99785,1,0.995,0.95818,0.27212,0.37268,0.63913,0.0007855,0.0007855,0.0007855
67,323.392,0.34406,0.36531,0.8842,0.99852,1,0.995,0.95084,0.29462,0.3787,0.6402,0.0007822,0.0007822,0.0007822
68,328.189,0.34824,0.36635,0.88008,0.99866,1,0.995,0.9509,0.29943,0.3587,0.64305,0.0007789,0.0007789,0.0007789
69,333.002,0.35085,0.369,0.88468,0.99702,1,0.995,0.94597,0.32203,0.37364,0.64423,0.0007756,0.0007756,0.0007756
70,337.838,0.3493,0.35598,0.88243,0.99893,1,0.995,0.95796,0.29239,0.34134,0.64078,0.0007723,0.0007723,0.0007723
71,342.702,0.35204,0.36903,0.88031,0.99935,1,0.995,0.93277,0.37569,0.3596,0.65872,0.000769,0.000769,0.000769
72,347.649,0.34333,0.35123,0.88728,0.99911,1,0.995,0.94394,0.32077,0.33022,0.64684,0.0007657,0.0007657,0.0007657
73,352.418,0.3351,0.34903,0.87891,0.99888,1,0.995,0.9521,0.30858,0.34242,0.64392,0.0007624,0.0007624,0.0007624
74,357.212,0.33901,0.36113,0.88259,0.99834,1,0.995,0.95356,0.29133,0.34927,0.64069,0.0007591,0.0007591,0.0007591
75,362.004,0.33693,0.3525,0.8788,0.99342,1,0.995,0.9503,0.30452,0.3572,0.64402,0.0007558,0.0007558,0.0007558
76,366.791,0.33535,0.35443,0.88005,0.99136,1,0.995,0.95074,0.30955,0.36725,0.64621,0.0007525,0.0007525,0.0007525
77,371.609,0.33355,0.35675,0.87202,0.99097,1,0.99493,0.9582,0.287,0.36559,0.64101,0.0007492,0.0007492,0.0007492
